ANO,INTERNACOES_SUL,POP_SUL,TAXA_100K_SUL,INTERNACOES_SUDESTE,POP_SUDESTE,TAXA_100K_SUDESTE,INTERNACOES_SUL_MAIS_SUDESTE,POP_SUL_MAIS_SUDESTE,TAXA_100K_SUL_MAIS_SUDESTE
2013,,,,1813,84289393,2.150923070474597,1813,112841229,1.6066822526365785
2014,,,,24618,84893919,28.9985434645796,24618,113696779,21.652328426999677
2015,1569.0,29062489.0,5.398711720802716,26850,85494023,31.405704232680684,28419,114556512,24.807843311430435
2016,20757.0,29316913.0,70.80213390816421,47494,86032875,55.20447852056554,68251,115349788,59.168725997138374
2017,21496.0,29561726.0,72.71564589970153,49503,86509018,57.22293599495026,70999,116070744,61.16872999452817
2018,21874.0,29807638.0,73.38387563617084,53364,86949467,61.37357920779434,75238,116757105,64.43976150316504
2019,23382.0,30066296.0,77.76814277355614,55460,87386818,63.46494959914892,78842,117453114,67.12635988518788
2020,19991.0,30323248.0,65.9263150174414,47602,87778972,54.22938878801178,67593,118102220,57.23262441637422
2021,19471.0,30529735.0,63.77716675234816,51760,88016928,58.806869514918766,71231,118546663,60.0868874731632
2022,23521.0,30704015.0,76.60561656187309,62265,88178052,70.61280963657487,85786,118882067,72.16058919971505
2023,22397.0,30903366.0,72.47430587334726,68037,88387852,76.97551016399855,90434,119291218,75.80943636605338
